_date,total_views,unique_views
2025-12-08,10,1
2025-12-09,110,1
2025-12-10,104,1
2025-12-11,282,3
2025-12-12,136,1
2025-12-13,47,1
2025-12-14,26,1
2025-12-15,130,1
2025-12-16,327,1
2025-12-17,482,1
2025-12-18,823,1
2025-12-19,780,3
2025-12-20,558,4
2025-12-21,898,2
2025-12-22,1044,3
2025-12-23,705,1
2025-12-24,543,3
2025-12-25,502,3
2025-12-26,545,7
2025-12-27,370,4
2025-12-28,338,4
2025-12-29,594,2
2025-12-30,672,6
2025-12-31,320,5
2026-01-01,603,4
2026-01-02,429,5
2026-01-03,528,7
2026-01-04,617,2
2026-01-05,649,8
2026-01-06,757,3
2026-01-07,354,1
2026-01-08,520,2
2026-01-09,754,6
2026-01-10,611,5
2026-01-11,424,5
2026-01-12,407,7
2026-01-13,402,4
2026-01-14,325,3
2026-01-15,250,3
2026-01-16,257,4
2026-01-17,102,3
2026-01-18,182,3
2026-01-19,235,3
2026-01-20,215,1
2026-01-21,384,1
2026-01-22,378,1
2026-01-23,315,2
